event_id,role,cdk,name,normalized_name
MN_manipu_1951:1991,child,MN_bishnu_1991,Bishnupur,bishnupur
MN_manipu_1951:1991,child,MN_churac_1991,Churachandpur,churachandpur
MN_manipu_1951:1991,child,MN_imphal_1991,Imphal,imphal
MN_manipu_1951:1991,child,MN_senapa_1991,Senapati,senapati
MN_manipu_1951:1991,child,MN_tameng_1991,Tamenglong,tamenglong
MN_manipu_1951:1991,child,MN_thouba_1991,Thoubal,thoubal
MN_manipu_1951:1991,child,MN_ukhrul_1991,Ukhrul,ukhrul
RJ_bharat_1981:1991,parent,RJ_bharat_1981,Bharatpur,bharatpur
RJ_bharat_1981:1991,child,RJ_dhaulp_1991,Dhaulpur,dhaulpur
TN_madura_1951:1991,parent,TN_madura_1951,Madurai,madurai
TN_madura_1951:1991,child,TN_dindig_1991,Dindigul Anna,dindigul anna
TN_narcot_1981:1991,parent,TN_narcot_1981,North Arcot,north arcot
TN_narcot_1981:1991,child,TN_tiruva_1991,Tiruvannamalai Sambuvarayar,tiruvannamalai sambuvarayar
TN_ramana_1981:1991,parent,TN_ramana_1981,Ramanathapuram,ramanathapuram
TN_ramana_1981:1991,child,TN_kamara_1991,Kamarajar,kamarajar
TN_ramana_1981:1991,child,TN_pasump_1991,Pasumpon Muthuramalinga Thevar,pasumpon muthuramalinga thevar
TN_tirune_1981:1991,parent,TN_tirune_1981,Tirunelveli,tirunelveli
TN_tirune_1981:1991,child,TN_chidam_1991,Chidambaranar,chidambaranar
UK_sahara_1981:1991,parent,UK_sahara_1981,Saharanpur,saharanpur
UK_sahara_1981:1991,child,UK_hardwa_1991,Hardwar,hardwar
UP_agra_1981:1991,parent,UP_agra_1981,Agra,agra
UP_agra_1981:1991,child,UP_firoza_1991,Firozabad,firozabad
